,ID,DATE,TOSS_WINNER,WINNER,PLAYER_OF_MATCH
426,427,2014-05-07,Chennai Super Kings,Kings XI Punjab,GJ Maxwell
427,428,2014-05-08,Rajasthan Royals,Sunrisers Hyderabad,B Kumar
428,429,2014-05-09,Royal Challengers Bangalore,Kings XI Punjab,Sandeep Sharma
429,430,2014-05-10,Sunrisers Hyderabad,Sunrisers Hyderabad,DW Steyn
430,431,2014-05-10,Chennai Super Kings,Chennai Super Kings,DR Smith
431,432,2014-05-11,Kolkata Knight Riders,Kolkata Knight Riders,G Gambhir
432,433,2014-05-11,Royal Challengers Bangalore,Rajasthan Royals,JP Faulkner
433,434,2014-05-12,Sunrisers Hyderabad,Mumbai Indians,AT Rayudu
434,435,2014-05-13,Rajasthan Royals,Chennai Super Kings,RA Jadeja
435,436,2014-05-13,Delhi Daredevils,Royal Challengers Bangalore,Yuvraj Singh
436,437,2014-05-14,Kings XI Punjab,Kings XI Punjab,WP Saha
437,438,2014-05-14,Kolkata Knight Riders,Kolkata Knight Riders,RV Uthappa
438,439,2014-05-15,Delhi Daredevils,Rajasthan Royals,AM Rahane
439,440,2014-05-18,Chennai Super Kings,Royal Challengers Bangalore,AB de Villiers
440,441,2014-05-18,Sunrisers Hyderabad,Kolkata Knight Riders,UT Yadav
441,442,2014-05-19,Mumbai Indians,Mumbai Indians,MEK Hussey
442,443,2014-05-19,Kings XI Punjab,Kings XI Punjab,AR Patel
443,444,2014-05-20,Royal Challengers Bangalore,Sunrisers Hyderabad,DA Warner
444,445,2014-05-20,Kolkata Knight Riders,Kolkata Knight Riders,RV Uthappa
445,446,2014-05-21,Mumbai Indians,Mumbai Indians,LMP Simmons
446,447,2014-05-22,Royal Challengers Bangalore,Kolkata Knight Riders,RV Uthappa
447,448,2014-05-22,Sunrisers Hyderabad,Sunrisers Hyderabad,DA Warner
448,449,2014-05-23,Delhi Daredevils,Mumbai Indians,MEK Hussey
449,450,2014-05-23,Rajasthan Royals,Kings XI Punjab,SE Marsh
450,451,2014-05-24,Chennai Super Kings,Chennai Super Kings,MS Dhoni
451,452,2014-05-24,Kolkata Knight Riders,Kolkata Knight Riders,YK Pathan
452,453,2014-05-25,Kings XI Punjab,Kings XI Punjab,M Vohra
453,454,2014-05-25,Mumbai Indians,Mumbai Indians,CJ Anderson
454,455,2014-05-27,Kings XI Punjab,Kolkata Knight Riders,UT Yadav
